Viral_Identity,Genome_Length_BP,True_GC_Content_Pct,Motif_CGATC_Count,Motif_GATC_Count,Motif_CCGG_Count
PZ405898,42427,52.7,56,143,259
PZ405899,50115,48.2,2,5,272
PZ465524,39183,50.8,2,3,120
CP123932,5386127,57.4,9741,30368,46164
PX694290,50010,44.6,19,116,63
PZ465528,39629,50.4,0,10,123
PX694292,47230,47.4,13,64,149
CP123939,5206677,57.3,9056,29272,44331
PX694289,147170,44.6,178,694,337
PX694288,115660,45.4,98,466,366
